sale_date,medicine_name,manufacturer,storage_condition,quantity_sold,temperature,flu_season,rain
1/5/2024,Cefixime 200mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),96,34,0,1
1/5/2024,Loratadine 10mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),108,30,0,0
1/5/2024,Omeprazole 20mg,Mekophar,Tránh ánh nắng trực tiếp,108,33,0,0
1/6/2024,Paracetamol 500mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,111,21,0,0
1/6/2024,Amoxicillin 250mg,DHG Pharmacy,Để xa tầm tay trẻ em,63,20,0,0
1/6/2024,Vitamin C 1000mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",85,32,0,1
1/6/2024,Ibuprofen 400mg,Traphaco,Để xa tầm tay trẻ em,112,20,0,0
1/6/2024,Aspirin 81mg,Traphaco,Để xa tầm tay trẻ em,29,32,0,1
1/6/2024,Cefixime 200mg,Imexpharm,Bảo quản ở nhiệt độ phòng,99,31,0,0
1/6/2024,Loratadine 10mg,Stella Pharma,Để xa tầm tay trẻ em,67,30,0,1
1/6/2024,Omeprazole 20mg,Mekophar,Để xa tầm tay trẻ em,70,33,0,0
1/7/2024,Paracetamol 500mg,Stella Pharma,Để xa tầm tay trẻ em,53,35,0,1
1/7/2024,Amoxicillin 250mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,26,23,0,0
1/7/2024,Vitamin C 1000mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),100,20,0,0
1/7/2024,Ibuprofen 400mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,43,26,0,1
1/7/2024,Aspirin 81mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",70,29,0,0
1/7/2024,Cefixime 200mg,Traphaco,Bảo quản ở nhiệt độ phòng,25,26,0,1
1/7/2024,Loratadine 10mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",28,24,0,1
1/7/2024,Omeprazole 20mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),111,28,0,1
1/8/2024,Paracetamol 500mg,Stella Pharma,"Bảo quản nơi khô ráo, thoáng mát",77,24,0,0
1/8/2024,Amoxicillin 250mg,Mekophar,Giữ trong tủ lạnh (2-8°C),105,29,0,1
1/8/2024,Vitamin C 1000mg,OPC Pharma,Để xa tầm tay trẻ em,48,29,0,1
1/8/2024,Ibuprofen 400mg,DHG Pharmacy,Để xa tầm tay trẻ em,46,33,0,1
1/8/2024,Aspirin 81mg,Traphaco,Bảo quản ở nhiệt độ phòng,17,29,0,1
1/8/2024,Cefixime 200mg,Traphaco,Để xa tầm tay trẻ em,112,24,0,1
1/8/2024,Loratadine 10mg,Stella Pharma,Để xa tầm tay trẻ em,24,32,0,1
1/8/2024,Omeprazole 20mg,Mekophar,Để xa tầm tay trẻ em,51,32,0,1
1/9/2024,Paracetamol 500mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),114,33,0,0
1/9/2024,Amoxicillin 250mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),110,28,0,1
1/9/2024,Vitamin C 1000mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),42,29,0,0
1/9/2024,Ibuprofen 400mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,14,25,0,1
1/9/2024,Aspirin 81mg,Boston Pharma,Tránh ánh nắng trực tiếp,76,35,0,0
1/9/2024,Cefixime 200mg,Imexpharm,Để xa tầm tay trẻ em,32,34,0,0
1/9/2024,Loratadine 10mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",101,21,0,0
1/9/2024,Omeprazole 20mg,OPC Pharma,Để xa tầm tay trẻ em,119,25,0,0
1/10/2024,Paracetamol 500mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),27,33,0,0
1/10/2024,Amoxicillin 250mg,Mekophar,Giữ trong tủ lạnh (2-8°C),28,28,0,0
1/10/2024,Vitamin C 1000mg,Stella Pharma,"Bảo quản nơi khô ráo, thoáng mát",71,32,0,0
1/10/2024,Ibuprofen 400mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",44,27,0,1
1/10/2024,Aspirin 81mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,12,34,0,1
1/10/2024,Cefixime 200mg,DHG Pharmacy,"Bảo quản nơi khô ráo, thoáng mát",111,31,0,0
1/10/2024,Loratadine 10mg,DHG Pharmacy,Tránh ánh nắng trực tiếp,27,28,0,0
1/10/2024,Omeprazole 20mg,Mekophar,Giữ trong tủ lạnh (2-8°C),37,27,0,1
1/11/2024,Paracetamol 500mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",107,27,0,0
1/11/2024,Amoxicillin 250mg,Traphaco,Để xa tầm tay trẻ em,50,25,0,0
1/11/2024,Vitamin C 1000mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",38,32,0,1
1/11/2024,Ibuprofen 400mg,Traphaco,Tránh ánh nắng trực tiếp,94,35,0,1
1/11/2024,Aspirin 81mg,Traphaco,Để xa tầm tay trẻ em,10,26,0,0
1/11/2024,Cefixime 200mg,Imexpharm,Bảo quản ở nhiệt độ phòng,120,21,0,1
1/11/2024,Loratadine 10mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,117,23,0,0
1/11/2024,Omeprazole 20mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",19,33,0,1
1/12/2024,Paracetamol 500mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,62,23,0,1
1/12/2024,Amoxicillin 250mg,Traphaco,"Bảo quản nơi khô ráo, thoáng mát",111,27,0,1
1/12/2024,Vitamin C 1000mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),75,26,0,1
1/12/2024,Ibuprofen 400mg,OPC Pharma,Để xa tầm tay trẻ em,55,34,0,1
1/12/2024,Aspirin 81mg,Mekophar,Giữ trong tủ lạnh (2-8°C),98,30,0,0
1/12/2024,Cefixime 200mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),107,32,0,0
1/12/2024,Loratadine 10mg,Imexpharm,Bảo quản ở nhiệt độ phòng,22,34,0,1
1/12/2024,Omeprazole 20mg,Mekophar,Giữ trong tủ lạnh (2-8°C),31,29,0,0
1/13/2024,Paracetamol 500mg,Stella Pharma,Giữ trong tủ lạnh (2-8°C),103,33,0,1
1/13/2024,Amoxicillin 250mg,Traphaco,Giữ trong tủ lạnh (2-8°C),22,27,0,0
1/13/2024,Vitamin C 1000mg,Traphaco,Để xa tầm tay trẻ em,89,33,0,0
1/13/2024,Ibuprofen 400mg,OPC Pharma,Để xa tầm tay trẻ em,73,35,0,1
1/13/2024,Aspirin 81mg,Mekophar,Giữ trong tủ lạnh (2-8°C),106,27,0,1
1/13/2024,Cefixime 200mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",76,21,0,0
1/13/2024,Loratadine 10mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,80,35,0,1
1/13/2024,Omeprazole 20mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),115,20,0,0
1/14/2024,Paracetamol 500mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,29,31,0,1
1/14/2024,Amoxicillin 250mg,Mekophar,Bảo quản ở nhiệt độ phòng,56,29,0,1
1/14/2024,Vitamin C 1000mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",90,35,0,0
1/14/2024,Ibuprofen 400mg,Stella Pharma,Tránh ánh nắng trực tiếp,120,27,0,0
1/14/2024,Aspirin 81mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),99,23,0,0
1/14/2024,Cefixime 200mg,Mekophar,Bảo quản ở nhiệt độ phòng,57,35,0,0
1/14/2024,Loratadine 10mg,Boston Pharma,Tránh ánh nắng trực tiếp,94,25,0,0
1/14/2024,Omeprazole 20mg,Mekophar,Bảo quản ở nhiệt độ phòng,29,25,0,0
1/15/2024,Paracetamol 500mg,DHG Pharmacy,"Bảo quản nơi khô ráo, thoáng mát",67,27,0,1
1/15/2024,Amoxicillin 250mg,DHG Pharmacy,Để xa tầm tay trẻ em,105,20,0,1
1/15/2024,Vitamin C 1000mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),77,33,0,1
1/15/2024,Ibuprofen 400mg,Imexpharm,Để xa tầm tay trẻ em,15,26,0,0
1/15/2024,Aspirin 81mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),70,21,0,0
1/15/2024,Cefixime 200mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),102,30,0,0
1/15/2024,Loratadine 10mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),20,34,0,0
1/15/2024,Omeprazole 20mg,Mekophar,Giữ trong tủ lạnh (2-8°C),38,33,0,0
1/16/2024,Paracetamol 500mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",90,27,0,0
1/16/2024,Amoxicillin 250mg,Traphaco,Để xa tầm tay trẻ em,103,33,0,0
1/16/2024,Vitamin C 1000mg,DHG Pharmacy,"Bảo quản nơi khô ráo, thoáng mát",96,32,0,0
1/16/2024,Ibuprofen 400mg,Mekophar,Tránh ánh nắng trực tiếp,41,26,0,1
1/16/2024,Aspirin 81mg,Mekophar,Để xa tầm tay trẻ em,99,21,0,1
1/16/2024,Cefixime 200mg,Stella Pharma,Tránh ánh nắng trực tiếp,120,21,0,1
1/16/2024,Loratadine 10mg,Traphaco,Giữ trong tủ lạnh (2-8°C),81,23,0,0
1/16/2024,Omeprazole 20mg,Mekophar,Bảo quản ở nhiệt độ phòng,83,31,0,1
1/17/2024,Paracetamol 500mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,79,34,0,0
1/17/2024,Amoxicillin 250mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),20,33,0,0
1/17/2024,Vitamin C 1000mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),69,34,0,0
1/17/2024,Ibuprofen 400mg,DHG Pharmacy,Bảo quản ở nhiệt độ phòng,71,35,0,1
1/17/2024,Aspirin 81mg,OPC Pharma,Để xa tầm tay trẻ em,88,24,0,1
1/17/2024,Cefixime 200mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),102,28,0,0
1/17/2024,Loratadine 10mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",89,21,0,0
1/17/2024,Omeprazole 20mg,Mekophar,Tránh ánh nắng trực tiếp,109,35,0,1
1/18/2024,Paracetamol 500mg,DHG Pharmacy,Bảo quản ở nhiệt độ phòng,71,33,0,1
1/18/2024,Amoxicillin 250mg,Traphaco,Giữ trong tủ lạnh (2-8°C),60,33,0,0
1/18/2024,Vitamin C 1000mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,12,21,0,0
1/18/2024,Ibuprofen 400mg,Mekophar,Bảo quản ở nhiệt độ phòng,24,21,0,0
1/18/2024,Aspirin 81mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,58,29,0,1
1/18/2024,Cefixime 200mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,101,29,0,1
1/18/2024,Loratadine 10mg,Imexpharm,Để xa tầm tay trẻ em,82,24,0,1
1/18/2024,Omeprazole 20mg,DHG Pharmacy,"Bảo quản nơi khô ráo, thoáng mát",45,35,0,1
1/19/2024,Paracetamol 500mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,104,20,0,0
1/19/2024,Amoxicillin 250mg,Imexpharm,Để xa tầm tay trẻ em,20,30,0,1
1/19/2024,Vitamin C 1000mg,Traphaco,Giữ trong tủ lạnh (2-8°C),85,29,0,1
1/19/2024,Ibuprofen 400mg,Stella Pharma,Để xa tầm tay trẻ em,20,25,0,0
1/19/2024,Aspirin 81mg,Stella Pharma,Để xa tầm tay trẻ em,51,27,0,1
1/19/2024,Cefixime 200mg,Traphaco,Để xa tầm tay trẻ em,91,33,0,1
1/19/2024,Loratadine 10mg,Traphaco,Tránh ánh nắng trực tiếp,27,29,0,1
1/19/2024,Omeprazole 20mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",112,25,0,0
1/20/2024,Paracetamol 500mg,DHG Pharmacy,Bảo quản ở nhiệt độ phòng,85,29,0,0
1/20/2024,Amoxicillin 250mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),35,34,0,1
1/20/2024,Vitamin C 1000mg,Mekophar,Để xa tầm tay trẻ em,120,27,0,1
1/20/2024,Ibuprofen 400mg,OPC Pharma,Để xa tầm tay trẻ em,12,32,0,1
1/20/2024,Aspirin 81mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),16,26,0,1
1/20/2024,Cefixime 200mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,97,29,0,0
1/20/2024,Loratadine 10mg,Traphaco,"Bảo quản nơi khô ráo, thoáng mát",100,32,0,0
1/20/2024,Omeprazole 20mg,OPC Pharma,Tránh ánh nắng trực tiếp,74,30,0,1
1/21/2024,Paracetamol 500mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),19,34,0,1
1/21/2024,Amoxicillin 250mg,Mekophar,Để xa tầm tay trẻ em,104,27,0,0
1/21/2024,Vitamin C 1000mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,65,29,0,1
1/21/2024,Ibuprofen 400mg,Imexpharm,Tránh ánh nắng trực tiếp,10,23,0,0
1/21/2024,Aspirin 81mg,Traphaco,Tránh ánh nắng trực tiếp,19,33,0,0
1/21/2024,Cefixime 200mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),21,25,0,0
1/21/2024,Loratadine 10mg,Boston Pharma,Để xa tầm tay trẻ em,90,27,0,1
1/21/2024,Omeprazole 20mg,Traphaco,Bảo quản ở nhiệt độ phòng,94,32,0,1
1/22/2024,Paracetamol 500mg,Imexpharm,Bảo quản ở nhiệt độ phòng,48,33,0,1
1/22/2024,Amoxicillin 250mg,DHG Pharmacy,Để xa tầm tay trẻ em,21,23,0,1
1/22/2024,Vitamin C 1000mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",108,22,0,1
1/22/2024,Ibuprofen 400mg,Traphaco,Để xa tầm tay trẻ em,23,34,0,0
1/22/2024,Aspirin 81mg,Mekophar,Bảo quản ở nhiệt độ phòng,37,28,0,0
1/22/2024,Cefixime 200mg,Imexpharm,Tránh ánh nắng trực tiếp,87,27,0,1
1/22/2024,Loratadine 10mg,Stella Pharma,Để xa tầm tay trẻ em,17,33,0,0
1/22/2024,Omeprazole 20mg,Imexpharm,Để xa tầm tay trẻ em,117,27,0,1
1/23/2024,Paracetamol 500mg,Mekophar,Tránh ánh nắng trực tiếp,51,32,0,0
1/23/2024,Amoxicillin 250mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",118,22,0,1
1/23/2024,Vitamin C 1000mg,Traphaco,Giữ trong tủ lạnh (2-8°C),60,25,0,0
1/23/2024,Ibuprofen 400mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",85,33,0,0
1/23/2024,Aspirin 81mg,DHG Pharmacy,Bảo quản ở nhiệt độ phòng,56,29,0,0
1/23/2024,Cefixime 200mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",120,35,0,1
1/23/2024,Loratadine 10mg,Imexpharm,Bảo quản ở nhiệt độ phòng,94,22,0,1
1/23/2024,Omeprazole 20mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",85,28,0,0
1/24/2024,Paracetamol 500mg,OPC Pharma,Tránh ánh nắng trực tiếp,74,27,0,0
1/24/2024,Amoxicillin 250mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",12,28,0,0
1/24/2024,Vitamin C 1000mg,Mekophar,Tránh ánh nắng trực tiếp,42,23,0,1
1/24/2024,Ibuprofen 400mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,82,21,0,1
1/24/2024,Aspirin 81mg,OPC Pharma,Để xa tầm tay trẻ em,87,27,0,1
1/24/2024,Cefixime 200mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),77,26,0,0
1/24/2024,Loratadine 10mg,Traphaco,"Bảo quản nơi khô ráo, thoáng mát",56,21,0,0
1/24/2024,Omeprazole 20mg,Traphaco,Tránh ánh nắng trực tiếp,120,26,0,1
1/25/2024,Paracetamol 500mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",96,25,0,1
1/25/2024,Amoxicillin 250mg,DHG Pharmacy,Để xa tầm tay trẻ em,79,33,0,0
1/25/2024,Vitamin C 1000mg,Imexpharm,Để xa tầm tay trẻ em,113,26,0,0
1/25/2024,Ibuprofen 400mg,OPC Pharma,Để xa tầm tay trẻ em,98,35,0,0
1/25/2024,Aspirin 81mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),114,30,0,0
1/25/2024,Cefixime 200mg,Imexpharm,Bảo quản ở nhiệt độ phòng,31,20,0,1
1/25/2024,Loratadine 10mg,Stella Pharma,"Bảo quản nơi khô ráo, thoáng mát",60,29,0,0
1/25/2024,Omeprazole 20mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,10,30,0,0
1/26/2024,Paracetamol 500mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",20,26,0,1
1/26/2024,Amoxicillin 250mg,Mekophar,Bảo quản ở nhiệt độ phòng,114,35,0,1
1/26/2024,Vitamin C 1000mg,Mekophar,Để xa tầm tay trẻ em,39,30,0,0
1/26/2024,Ibuprofen 400mg,Traphaco,Giữ trong tủ lạnh (2-8°C),88,24,0,1
1/26/2024,Aspirin 81mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",26,20,0,1
1/26/2024,Cefixime 200mg,Imexpharm,Tránh ánh nắng trực tiếp,103,24,0,1
1/26/2024,Loratadine 10mg,Mekophar,Bảo quản ở nhiệt độ phòng,88,27,0,1
1/26/2024,Omeprazole 20mg,Traphaco,Để xa tầm tay trẻ em,87,29,0,1
1/27/2024,Paracetamol 500mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",92,29,0,1
1/27/2024,Amoxicillin 250mg,OPC Pharma,Để xa tầm tay trẻ em,58,27,0,0
1/27/2024,Vitamin C 1000mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),63,25,0,1
1/27/2024,Ibuprofen 400mg,DHG Pharmacy,Bảo quản ở nhiệt độ phòng,115,20,0,1
1/27/2024,Aspirin 81mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,26,24,0,1
1/27/2024,Cefixime 200mg,Mekophar,Để xa tầm tay trẻ em,13,28,0,1
1/27/2024,Loratadine 10mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,24,31,0,0
1/27/2024,Omeprazole 20mg,Traphaco,"Bảo quản nơi khô ráo, thoáng mát",101,34,0,1
1/28/2024,Paracetamol 500mg,DHG Pharmacy,Tránh ánh nắng trực tiếp,110,34,0,0
1/28/2024,Amoxicillin 250mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",41,35,0,1
1/28/2024,Vitamin C 1000mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),106,34,0,1
1/28/2024,Ibuprofen 400mg,Traphaco,Tránh ánh nắng trực tiếp,45,31,0,0
1/28/2024,Aspirin 81mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),119,20,0,1
1/28/2024,Cefixime 200mg,Traphaco,Giữ trong tủ lạnh (2-8°C),44,27,0,1
1/28/2024,Loratadine 10mg,Mekophar,Tránh ánh nắng trực tiếp,87,26,0,1
1/28/2024,Omeprazole 20mg,Mekophar,Để xa tầm tay trẻ em,73,27,0,0
1/29/2024,Paracetamol 500mg,Boston Pharma,Để xa tầm tay trẻ em,100,30,0,0
1/29/2024,Amoxicillin 250mg,Mekophar,Bảo quản ở nhiệt độ phòng,108,26,0,1
1/29/2024,Vitamin C 1000mg,OPC Pharma,Để xa tầm tay trẻ em,119,35,0,1
1/29/2024,Ibuprofen 400mg,Boston Pharma,Tránh ánh nắng trực tiếp,100,34,0,0
1/29/2024,Aspirin 81mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,88,27,0,0
1/29/2024,Cefixime 200mg,OPC Pharma,Tránh ánh nắng trực tiếp,45,23,0,0
1/29/2024,Loratadine 10mg,OPC Pharma,Tránh ánh nắng trực tiếp,63,34,0,1
1/29/2024,Omeprazole 20mg,DHG Pharmacy,"Bảo quản nơi khô ráo, thoáng mát",111,23,0,0
1/30/2024,Paracetamol 500mg,Mekophar,Giữ trong tủ lạnh (2-8°C),101,26,0,1
1/30/2024,Amoxicillin 250mg,OPC Pharma,Giữ trong tủ lạnh (2-8°C),73,32,0,1
1/30/2024,Vitamin C 1000mg,DHG Pharmacy,Tránh ánh nắng trực tiếp,74,25,0,1
1/30/2024,Ibuprofen 400mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",55,24,0,1
1/30/2024,Aspirin 81mg,OPC Pharma,Để xa tầm tay trẻ em,18,27,0,1
1/30/2024,Cefixime 200mg,Stella Pharma,Tránh ánh nắng trực tiếp,68,26,0,1
1/30/2024,Loratadine 10mg,OPC Pharma,Tránh ánh nắng trực tiếp,87,25,0,1
1/30/2024,Omeprazole 20mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",60,33,0,0
1/31/2024,Paracetamol 500mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",38,23,0,1
1/31/2024,Amoxicillin 250mg,Imexpharm,Để xa tầm tay trẻ em,90,35,0,0
1/31/2024,Vitamin C 1000mg,OPC Pharma,Để xa tầm tay trẻ em,45,30,0,1
1/31/2024,Ibuprofen 400mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",118,23,0,1
1/31/2024,Aspirin 81mg,Boston Pharma,Để xa tầm tay trẻ em,21,24,0,1
1/31/2024,Cefixime 200mg,Imexpharm,Để xa tầm tay trẻ em,36,23,0,0
1/31/2024,Loratadine 10mg,DHG Pharmacy,Tránh ánh nắng trực tiếp,103,23,0,0
1/31/2024,Omeprazole 20mg,OPC Pharma,Tránh ánh nắng trực tiếp,32,31,0,0
2/1/2024,Paracetamol 500mg,Stella Pharma,Giữ trong tủ lạnh (2-8°C),54,20,0,1
2/1/2024,Amoxicillin 250mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",34,30,0,0
2/1/2024,Vitamin C 1000mg,Traphaco,Tránh ánh nắng trực tiếp,32,23,0,1
2/1/2024,Ibuprofen 400mg,Stella Pharma,"Bảo quản nơi khô ráo, thoáng mát",11,23,0,1
2/1/2024,Aspirin 81mg,DHG Pharmacy,Bảo quản ở nhiệt độ phòng,30,31,0,0
2/1/2024,Cefixime 200mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),19,21,0,1
2/1/2024,Loratadine 10mg,Imexpharm,Tránh ánh nắng trực tiếp,80,20,0,0
2/1/2024,Omeprazole 20mg,Mekophar,Giữ trong tủ lạnh (2-8°C),87,30,0,0
2/2/2024,Paracetamol 500mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),97,20,0,1
2/2/2024,Amoxicillin 250mg,DHG Pharmacy,Tránh ánh nắng trực tiếp,50,25,0,0
2/2/2024,Vitamin C 1000mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),88,34,0,0
2/2/2024,Ibuprofen 400mg,Imexpharm,Tránh ánh nắng trực tiếp,90,22,0,0
2/2/2024,Aspirin 81mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",21,35,0,0
2/2/2024,Cefixime 200mg,OPC Pharma,Để xa tầm tay trẻ em,117,32,0,1
2/2/2024,Loratadine 10mg,Traphaco,Bảo quản ở nhiệt độ phòng,51,31,0,0
2/2/2024,Omeprazole 20mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),21,31,0,1
2/3/2024,Paracetamol 500mg,OPC Pharma,Tránh ánh nắng trực tiếp,92,22,0,0
2/3/2024,Amoxicillin 250mg,Stella Pharma,Bảo quản ở nhiệt độ phòng,29,30,0,1
